"YOB","Gender","Income","HouseholdStatus","EducationLevel","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024"
1994,2,4,3,6,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2
1995,2,5,5,4,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2
1998,1,3,5,3,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1
1994,2,5,5,4,1,2,1,1,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2
1960,2,3,6,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2
1959,2,1,4,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1
1987,2,2,5,5,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2
1965,1,4,4,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1
1978,1,2,4,6,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1
1960,2,5,4,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2
1986,1,2,6,4,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1
1995,2,6,5,3,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2
1996,2,5,5,3,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1
1986,2,6,5,6,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2
1996,2,3,5,3,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1
1983,2,3,3,2,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1
1964,1,2,3,6,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1
1977,1,5,4,2,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2,1,2,2,1,2
1976,1,6,5,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2
1963,2,3,4,7,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1
1964,1,5,4,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2
1951,1,4,3,2,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1
1995,2,6,5,4,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,2
1964,1,5,5,7,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2
1994,2,5,5,4,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1
1994,2,5,5,4,1,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2
1988,2,6,5,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2
1985,2,3,4,7,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2
1980,2,4,4,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2
1972,1,2,5,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
1973,1,3,6,7,1,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,1
1991,2,3,5,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2
1998,2,1,5,3,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2
1974,2,5,3,7,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1
1969,1,1,4,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,2
1955,2,5,4,7,1,2,1,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2
1970,2,5,4,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2
1992,1,5,5,6,2,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1
1988,2,2,3,2,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2
1946,2,1,5,7,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2
1978,2,1,4,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1
1950,1,3,4,7,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2
1965,1,4,5,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1
1964,2,5,4,2,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,2
1966,1,6,6,1,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,1
1989,1,4,5,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2
1965,2,5,4,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1
1981,2,3,4,2,1,2,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1
1950,2,2,3,6,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2
1970,2,1,4,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2
